,Adjusted Grade,New?,Other Location Code in LCGMS,School Name,SED Code,Location Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency
1056,,,,P.S. 031 WILLIAM T. DAVIS,353100010031,31R031,31,40.641954,-74.085457,"55 LAYTON AVE STATEN ISLAND, NY 10301",STATEN ISLAND,10301,"PK,0K,01,02,03,04,05",PK,5,No,0.902,49054.18,0.9,0.41,0.89,Approaching Target,0.9,Meeting Target,0.89,Approaching Target,0.78,Meeting Target,0.85,Meeting Target,0.93,Meeting Target,Meeting Target,2.12,2.18
1065,,,,P.S. 044 THOMAS C. BROWN,353100010044,31R044,31,40.631586,-74.157068,"80 MAPLE PKWY STATEN ISLAND, NY 10303",STATEN ISLAND,10303,"PK,0K,01,02,03,04,05",PK,5,No,0.834,41056.56,0.91,0.37,0.89,Approaching Target,0.85,Meeting Target,0.87,Approaching Target,0.72,Approaching Target,0.81,Approaching Target,0.9,Meeting Target,Meeting Target,2.11,2.18
1087,,,,P.S. 78,353100010078,31R078,31,40.622418,-74.079229,"100 TOMPKINS AVE STATEN ISLAND, NY 10304",STATEN ISLAND,10304,"PK,0K,01,02,03,04,05",PK,5,Yes,0.884,38859.51,0.9,0.41,0.91,Approaching Target,0.9,Meeting Target,0.77,Not Meeting Target,0.85,Meeting Target,0.84,Meeting Target,0.94,Exceeding Target,,2.11,2.2
1097,,,,P.S. 151 LYNDON B. JOHNSON,333200010151,32K151,32,40.693371,-73.908233,"763 KNICKERBOCKER AVE BROOKLYN, NY 11237",BROOKLYN,11237,"PK,0K,01,02,03,04,05",PK,5,No,0.892,41236.54,0.93,0.28,0.84,Approaching Target,0.85,Meeting Target,0.87,Meeting Target,0.78,Meeting Target,0.87,Meeting Target,0.89,Meeting Target,Approaching Target,2.02,2.1
1098,,,,J.H.S. 162 THE WILLOUGHBY,333200010162,32K162,32,40.706871,-73.92002,"1390 WILLOUGHBY AVE BROOKLYN, NY 11237",BROOKLYN,11237,"06,07,08",6,8,No,0.845,,0.91,0.31,0.89,Meeting Target,0.83,Meeting Target,0.84,Meeting Target,0.78,Approaching Target,0.77,Approaching Target,0.86,Approaching Target,Meeting Target,2.23,2.23
1100,,,,J.H.S. 291 ROLAND HAYES,333200010291,32K291,32,40.695648,-73.915406,"231 PALMETTO ST BROOKLYN, NY 11221",BROOKLYN,11221,"06,07,08",6,8,Yes,0.839,,0.89,0.36,0.96,Meeting Target,0.97,Exceeding Target,0.88,Meeting Target,0.89,Meeting Target,0.78,Meeting Target,0.93,Meeting Target,Meeting Target,2.17,2.1
1105,,,,P.S. 377 ALEJANDRINA B. DE GAUTIER,333200010377,32K377,32,40.693817,-73.914879,"200 WOODBINE ST BROOKLYN, NY 11221",BROOKLYN,11221,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.819,36894.07,0.91,0.32,0.9,Approaching Target,0.85,Meeting Target,0.85,Approaching Target,0.73,Approaching Target,0.81,Approaching Target,0.89,Meeting Target,Approaching Target,2.14,2.22
1109,,,,EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION,333200010562,32K562,32,40.688922,-73.91033,"125 COVERT ST BROOKLYN, NY 11207",BROOKLYN,11207,"06,07,08",6,8,No,0.848,,0.92,0.25,0.88,Meeting Target,0.95,Meeting Target,0.89,Meeting Target,0.92,Meeting Target,0.79,Meeting Target,0.95,Exceeding Target,Approaching Target,2.11,1.95
1119,,,,LAUNCH EXPEDITIONARY LEARNING CHARTER SCHOOL,331600861003,84K360,16,40.675732,-73.935082,"1580 DEAN ST-3RD FL BROOKLYN, NY 11213",BROOKLYN,11213,"06,07,08,09,10,11,12",6,12,No,0.748,,0.95,0.13,0.8,Approaching Target,0.83,Meeting Target,0.8,Meeting Target,0.84,Meeting Target,0.78,Approaching Target,0.87,Approaching Target,Approaching Target,2.16,2.2
1184,,,,THE OPPORTUNITY CHARTER SCHOOL,310300860871,84M279,3,40.801651,-73.955295,"240 W 113TH ST-4TH FL NEW YORK, NY 10026",NEW YORK,10026,"06,07,08,09,10,11,12",6,12,No,0.758,,0.93,0.22,0.79,Approaching Target,0.69,Approaching Target,0.79,Meeting Target,0.7,Approaching Target,0.77,Meeting Target,0.82,Approaching Target,Approaching Target,2.13,2.01
1199,,,,ST. HOPE LEADERSHIP ACADEMY CHARTER SCHOOL,310500860928,84M388,5,40.814949,-73.945808,"222 W 134TH ST-RM 111 NEW YORK, NY 10030",NEW YORK,10030,"0K,01,02,03,04,05,06,07,08,09,10,11,12",0K,12,No,0.818,,0.95,0.05,0.87,Meeting Target,0.94,Exceeding Target,0.91,Exceeding Target,0.88,Meeting Target,0.82,Meeting Target,0.94,Exceeding Target,Approaching Target,2.13,2.29
1249,,,,BRONX CHARTER SCHOOL FOR CHILDREN,320700860852,84X407,7,40.812627,-73.919908,"388 WILLIS AVE BRONX, NY 10454",BRONX,10454,"0K,01,02,03,04,05",0K,5,No,0.862,23824.44,0.97,0.04,0.93,Meeting Target,0.92,Exceeding Target,0.88,Meeting Target,0.84,Meeting Target,0.85,Meeting Target,0.96,Exceeding Target,Approaching Target,2.21,2.29
1264,,,,NEW YORK CITY MONTESSORI CHARTER SCHOOL,320700861005,84X554,7,40.808913,-73.921746,"423 E 138TH ST BRONX, NY 10454",BRONX,10454,"0K,01,02,03,04,05",0K,5,No,0.838,25199.39,0.91,0.34,0.74,Approaching Target,0.83,Approaching Target,0.73,Approaching Target,0.77,Approaching Target,0.86,Meeting Target,0.91,Meeting Target,,2.02,2.27
